Mann
Tuch
Gürtel
Burg
Bombe
Frau
Spiel
Internet
Browser
Spiegel
Zeitung
Auto
LKW
Zug
Laster
Uhr
Bonbon
Stift
Lampe
Mexico
Muschel
Strand
Hut
Sonnenbrille
Brille
Whiteboard
Tafel
Banane
Atlas
Funken
Stempel
Bock
Schein
Flügel
Scheibe
Wanze
Glatze
Tabu
Verkehr
Bagger
Stadion
Rotlicht
